"Garage Type","Garage Area"
Attchd,741.0
Attchd,473.0
Attchd,573.0
Attchd,888.0
2Types,776.0
Detchd,572.0
Attchd,660.0
Attchd,520.0
BuiltIn,400.0
BuiltIn,680.0
BuiltIn,510.0
Attchd,431.0
Attchd,746.0
Attchd,528.0
Attchd,624.0
"",0.0
Attchd,686.0
Attchd,286.0
Attchd,253.0
Attchd,336.0
"",0.0
"",0.0
"",0.0
Attchd,286.0
Detchd,352.0
Attchd,312.0
Attchd,495.0
Attchd,616.0
Detchd,576.0
Attchd,275.0
Attchd,482.0
Attchd,616.0
Attchd,502.0
Attchd,528.0
Attchd,538.0
Attchd,470.0
BuiltIn,632.0
BuiltIn,390.0
Attchd,758.0
BuiltIn,400.0
Attchd,564.0
Attchd,499.0
Attchd,495.0
Attchd,528.0
BuiltIn,396.0
Attchd,427.0
Attchd,440.0
Attchd,380.0
BuiltIn,420.0
Attchd,409.0
Attchd,430.0
BuiltIn,389.0
Attchd,343.0
Attchd,400.0
Attchd,490.0
Attchd,500.0
Attchd,565.0
Attchd,1166.0
Attchd,834.0
Attchd,430.0
Attchd,567.0
Attchd,484.0
Attchd,435.0
Attchd,544.0
Attchd,529.0
Attchd,529.0
Attchd,484.0
BuiltIn,441.0
Attchd,588.0
Attchd,479.0
Attchd,542.0
Attchd,478.0
Attchd,479.0
Attchd,484.0
Attchd,581.0
BuiltIn,552.0
Attchd,588.0
Attchd,565.0
Attchd,478.0
Attchd,528.0
Attchd,506.0
Attchd,478.0
Attchd,583.0
"",0.0
Detchd,902.0
Detchd,440.0
Attchd,477.0
Attchd,336.0
Detchd,576.0
Detchd,660.0
Detchd,463.0
Detchd,576.0
Detchd,576.0
Detchd,264.0
Attchd,440.0
Detchd,280.0
Detchd,288.0
Detchd,264.0
Detchd,264.0
Attchd,440.0
Detchd,440.0
Attchd,440.0
Attchd,440.0
Attchd,440.0
Attchd,440.0
Detchd,440.0
Attchd,440.0
Attchd,440.0
Attchd,345.0
Attchd,288.0
Attchd,656.0
Attchd,786.0
BuiltIn,754.0
BuiltIn,820.0
Attchd,672.0
Attchd,840.0
Attchd,890.0
Attchd,1390.0
Attchd,864.0
Attchd,836.0
Attchd,896.0
Attchd,900.0
BuiltIn,842.0
Attchd,762.0
BuiltIn,1020.0
Attchd,834.0
Attchd,932.0
BuiltIn,640.0
Attchd,908.0
Attchd,927.0
Attchd,856.0
Attchd,700.0
Attchd,850.0
Attchd,738.0
Attchd,862.0
Attchd,880.0
Attchd,583.0
Attchd,644.0
Attchd,968.0
Attchd,886.0
BuiltIn,730.0
Attchd,871.0
Attchd,484.0
Attchd,624.0
Attchd,624.0
Attchd,484.0
Attchd,626.0
Attchd,949.0
Attchd,685.0
Attchd,649.0
Attchd,539.0
Attchd,701.0
Attchd,550.0
Attchd,478.0
BuiltIn,474.0
Attchd,390.0
Attchd,392.0
Attchd,390.0
BuiltIn,400.0
Attchd,660.0
Attchd,660.0
Attchd,430.0
Attchd,457.0
Attchd,397.0
Attchd,397.0
Attchd,432.0
BuiltIn,390.0
BuiltIn,400.0
BuiltIn,436.0
BuiltIn,527.0
Attchd,434.0
Attchd,400.0
Attchd,393.0
Attchd,626.0
BuiltIn,554.0
BuiltIn,644.0
BuiltIn,390.0
BuiltIn,400.0
Attchd,463.0
Attchd,394.0
BuiltIn,400.0
BuiltIn,658.0
BuiltIn,502.0
BuiltIn,390.0
BuiltIn,410.0
Attchd,856.0
Attchd,810.0
BuiltIn,810.0
Attchd,1069.0
Attchd,676.0
Attchd,889.0
Attchd,815.0
Attchd,656.0
Attchd,647.0
Attchd,623.0
Attchd,711.0
BuiltIn,467.0
Attchd,898.0
Attchd,972.0
Attchd,726.0
Attchd,840.0
Attchd,844.0
Attchd,492.0
Attchd,689.0
Attchd,795.0
Attchd,644.0
Attchd,676.0
Attchd,676.0
Attchd,529.0
Attchd,552.0
Attchd,625.0
Attchd,984.0
Attchd,478.0
Attchd,692.0
Attchd,812.0
Attchd,782.0
Attchd,1043.0
Attchd,438.0
Attchd,517.0
Attchd,711.0
BuiltIn,615.0
Attchd,400.0
Attchd,588.0
Attchd,628.0
Detchd,576.0
Detchd,484.0
"",0.0
BuiltIn,478.0
Attchd,845.0
Attchd,555.0
Detchd,576.0
"",0.0
Detchd,576.0
Attchd,788.0
Attchd,559.0
Attchd,620.0
Attchd,527.0
Attchd,528.0
Attchd,288.0
Attchd,542.0
Attchd,495.0
Attchd,465.0
Attchd,612.0
CarPort,294.0
Detchd,360.0
Detchd,400.0
Detchd,484.0
Detchd,732.0
Attchd,440.0
Attchd,288.0
Attchd,300.0
Attchd,264.0
Detchd,360.0
Attchd,252.0
Attchd,864.0
Attchd,524.0
BuiltIn,704.0
Detchd,528.0
Detchd,528.0
Attchd,561.0
Attchd,641.0
Detchd,440.0
Detchd,440.0
Detchd,506.0
Attchd,480.0
Attchd,642.0
Attchd,484.0
Attchd,540.0
Attchd,527.0
Attchd,490.0
Attchd,441.0
Attchd,615.0
Attchd,462.0
Attchd,484.0
Attchd,784.0
Attchd,497.0
Attchd,515.0
Attchd,480.0
Attchd,502.0
Attchd,336.0
Attchd,520.0
Attchd,630.0
Attchd,583.0
Attchd,528.0
Attchd,312.0
Attchd,440.0
Detchd,429.0
Attchd,498.0
Attchd,495.0
Attchd,457.0
Detchd,396.0
Detchd,308.0
Detchd,300.0
Attchd,768.0
Detchd,576.0
Detchd,888.0
Attchd,472.0
Attchd,610.0
Detchd,520.0
Attchd,480.0
Attchd,549.0
Attchd,645.0
Attchd,270.0
BuiltIn,368.0
Attchd,330.0
"",0.0
Detchd,352.0
Attchd,505.0
Attchd,550.0
Attchd,418.0
Attchd,338.0
Attchd,271.0
Attchd,264.0
Detchd,792.0
Attchd,530.0
Attchd,514.0
Attchd,542.0
Attchd,486.0
Attchd,509.0
Attchd,576.0
Attchd,368.0
Attchd,286.0
Attchd,442.0
Attchd,441.0
Attchd,297.0
Attchd,338.0
Attchd,297.0
Attchd,304.0
Attchd,350.0
Attchd,294.0
Attchd,884.0
Attchd,498.0
Detchd,495.0
Attchd,297.0
Attchd,270.0
Basment,480.0
Detchd,672.0
CarPort,288.0
Detchd,240.0
Attchd,230.0
Attchd,616.0
CarPort,420.0
Attchd,410.0
Attchd,246.0
Detchd,240.0
Attchd,366.0
Detchd,180.0
Detchd,720.0
Detchd,281.0
Detchd,240.0
Detchd,264.0
Detchd,528.0
Detchd,624.0
"",0.0
Detchd,338.0
Detchd,576.0
Detchd,320.0
Attchd,907.0
Attchd,364.0
Attchd,480.0
Detchd,968.0
Detchd,480.0
Detchd,308.0
Detchd,756.0
Attchd,498.0
Basment,384.0
Attchd,288.0
Detchd,400.0
Detchd,900.0
Detchd,420.0
Attchd,240.0
Attchd,294.0
Attchd,294.0
Detchd,240.0
Attchd,288.0
Attchd,672.0
Detchd,384.0
Detchd,576.0
Attchd,483.0
Attchd,564.0
Attchd,264.0
Detchd,308.0
Detchd,210.0
Detchd,440.0
Detchd,162.0
Detchd,324.0
Detchd,200.0
Detchd,472.0
"",0.0
Detchd,400.0
Attchd,432.0
"",0.0
Detchd,400.0
Detchd,240.0
"",0.0
Detchd,576.0
Detchd,308.0
BuiltIn,256.0
Detchd,288.0
Detchd,308.0
"",0.0
Attchd,273.0
Detchd,287.0
"",0.0
Detchd,720.0
Detchd,240.0
Detchd,360.0
Detchd,864.0
Detchd,357.0
Attchd,280.0
Attchd,424.0
"",0.0
Detchd,324.0
Detchd,280.0
Detchd,456.0
Detchd,207.0
Detchd,640.0
"",0.0
"",0.0
Attchd,528.0
BuiltIn,216.0
Detchd,672.0
Detchd,336.0
Detchd,192.0
Detchd,240.0
Detchd,624.0
Detchd,216.0
Detchd,280.0
Attchd,320.0
Detchd,180.0
Detchd,440.0
Detchd,576.0
Detchd,240.0
"",0.0
Detchd,180.0
Detchd,264.0
Detchd,250.0
Detchd,1184.0
Detchd,441.0
Detchd,532.0
Detchd,576.0
Attchd,164.0
Detchd,216.0
"",0.0
"",0.0
Attchd,316.0
Detchd,539.0
Attchd,379.0
"",0.0
Detchd,384.0
"",0.0
Detchd,308.0
CarPort,220.0
"",0.0
"",0.0
Detchd,252.0
"",0.0
Detchd,300.0
Detchd,226.0
Attchd,480.0
Detchd,480.0
Attchd,440.0
Attchd,668.0
Attchd,288.0
Basment,504.0
Detchd,576.0
Detchd,528.0
Attchd,288.0
Attchd,384.0
Attchd,480.0
Attchd,336.0
"",0.0
Attchd,304.0
Attchd,452.0
Attchd,284.0
Detchd,539.0
Attchd,303.0
Attchd,452.0
Attchd,498.0
Attchd,480.0
Attchd,340.0
Attchd,350.0
Detchd,240.0
Attchd,234.0
Detchd,252.0
Detchd,290.0
Attchd,266.0
Attchd,281.0
Detchd,280.0
Detchd,296.0
Attchd,462.0
Attchd,576.0
BuiltIn,612.0
Attchd,701.0
Attchd,425.0
Attchd,473.0
Attchd,466.0
Attchd,576.0
Attchd,410.0
Detchd,528.0
Detchd,720.0
Attchd,400.0
Attchd,400.0
Detchd,528.0
Detchd,672.0
Attchd,400.0
BuiltIn,820.0
BuiltIn,820.0
BuiltIn,820.0
Attchd,1138.0
Attchd,826.0
Attchd,860.0
Attchd,846.0
Attchd,904.0
Attchd,578.0
Attchd,524.0
Attchd,702.0
Attchd,660.0
Attchd,662.0
Attchd,810.0
Attchd,632.0
Attchd,844.0
Attchd,440.0
Attchd,569.0
Attchd,525.0
Attchd,538.0
Detchd,576.0
Attchd,440.0
Attchd,470.0
Attchd,550.0
Attchd,539.0
Attchd,672.0
Detchd,480.0
Attchd,546.0
Attchd,577.0
Attchd,666.0
Attchd,492.0
Attchd,493.0
Attchd,544.0
Attchd,622.0
Attchd,605.0
Attchd,577.0
Attchd,608.0
"",0.0
Attchd,343.0
Attchd,444.0
Detchd,484.0
Attchd,336.0
Detchd,252.0
Attchd,338.0
Detchd,600.0
Detchd,396.0
Detchd,396.0
Attchd,1231.0
BuiltIn,570.0
Attchd,522.0
BuiltIn,531.0
Attchd,736.0
Attchd,550.0
Attchd,608.0
Attchd,521.0
Attchd,478.0
Attchd,523.0
Attchd,511.0
Attchd,645.0
Attchd,512.0
Attchd,573.0
Attchd,451.0
Attchd,420.0
Attchd,420.0
Attchd,810.0
Attchd,572.0
Attchd,570.0
Attchd,540.0
BuiltIn,440.0
Detchd,520.0
Detchd,480.0
Detchd,288.0
BuiltIn,672.0
Attchd,440.0
2Types,544.0
Detchd,352.0
Attchd,768.0
Basment,525.0
"",0.0
Detchd,320.0
Attchd,195.0
Detchd,240.0
"",0.0
Detchd,528.0
"",0.0
Attchd,313.0
Basment,288.0
Detchd,528.0
Detchd,256.0
Detchd,660.0
Basment,250.0
Detchd,281.0
Detchd,246.0
Detchd,240.0
Basment,672.0
Detchd,180.0
Detchd,576.0
Detchd,440.0
Detchd,216.0
Detchd,576.0
Detchd,342.0
Detchd,216.0
Detchd,215.0
Detchd,282.0
Detchd,440.0
Attchd,213.0
Detchd,256.0
Attchd,307.0
Detchd,432.0
Detchd,186.0
Detchd,400.0
Attchd,390.0
Attchd,234.0
Attchd,463.0
Attchd,295.0
Attchd,300.0
Basment,576.0
Detchd,452.0
Attchd,462.0
Attchd,462.0
Attchd,462.0
BuiltIn,501.0
Attchd,551.0
Attchd,540.0
Detchd,468.0
Detchd,576.0
Detchd,189.0
"",0.0
Detchd,200.0
Attchd,482.0
Detchd,280.0
BuiltIn,642.0
Attchd,670.0
Attchd,550.0
BuiltIn,560.0
Attchd,351.0
Attchd,541.0
Attchd,539.0
Attchd,497.0
Detchd,672.0
Basment,525.0
Attchd,513.0
Attchd,912.0
Attchd,650.0
Attchd,780.0
Attchd,885.0
Attchd,610.0
Attchd,576.0
BuiltIn,440.0
Attchd,578.0
Attchd,471.0
Attchd,486.0
Attchd,765.0
Attchd,920.0
Attchd,384.0
Attchd,336.0
Attchd,412.0
Attchd,402.0
BuiltIn,297.0
Attchd,288.0
Attchd,286.0
Attchd,504.0
Attchd,286.0
"",0.0
Attchd,286.0
Detchd,336.0
Attchd,429.0
Attchd,602.0
"",0.0
Detchd,698.0
Attchd,480.0
Detchd,440.0
Attchd,714.0
Attchd,898.0
Attchd,601.0
Attchd,550.0
Attchd,576.0
Attchd,470.0
BuiltIn,420.0
Attchd,472.0
Attchd,472.0
Attchd,386.0
Attchd,404.0
Attchd,406.0
Attchd,682.0
Attchd,528.0
Attchd,462.0
Attchd,506.0
Attchd,470.0
Attchd,460.0
Attchd,431.0
Attchd,409.0
Attchd,416.0
Attchd,472.0
Attchd,462.0
BuiltIn,683.0
BuiltIn,656.0
Attchd,670.0
Attchd,495.0
Attchd,557.0
Attchd,738.0
Attchd,542.0
Attchd,528.0
Attchd,576.0
Attchd,598.0
Attchd,550.0
Attchd,551.0
Attchd,619.0
Attchd,461.0
Attchd,540.0
Attchd,489.0
Detchd,484.0
Attchd,1314.0
Attchd,478.0
Attchd,473.0
Attchd,483.0
Attchd,439.0
Attchd,787.0
Detchd,480.0
Attchd,460.0
Attchd,288.0
Detchd,576.0
Detchd,576.0
Attchd,511.0
Detchd,264.0
Detchd,264.0
Detchd,352.0
Detchd,280.0
Detchd,264.0
Detchd,264.0
Detchd,264.0
Attchd,440.0
Attchd,460.0
Attchd,440.0
Attchd,264.0
Attchd,774.0
BuiltIn,846.0
Attchd,1220.0
Attchd,858.0
Attchd,905.0
Attchd,866.0
Attchd,650.0
Attchd,706.0
BuiltIn,850.0
BuiltIn,1150.0
BuiltIn,1003.0
BuiltIn,656.0
BuiltIn,756.0
Attchd,789.0
BuiltIn,726.0
BuiltIn,871.0
Attchd,732.0
Attchd,746.0
BuiltIn,795.0
Attchd,870.0
Attchd,1052.0
Attchd,484.0
Attchd,588.0
Attchd,564.0
Attchd,944.0
Attchd,550.0
Attchd,550.0
BuiltIn,474.0
BuiltIn,474.0
Attchd,484.0
Attchd,644.0
Attchd,668.0
Attchd,437.0
Attchd,388.0
Attchd,428.0
Attchd,393.0
Attchd,398.0
Attchd,400.0
Attchd,400.0
BuiltIn,400.0
BuiltIn,434.0
Attchd,484.0
Attchd,451.0
Attchd,431.0
Attchd,388.0
Attchd,403.0
BuiltIn,400.0
BuiltIn,450.0
Attchd,516.0
Attchd,696.0
Attchd,836.0
BuiltIn,687.0
Attchd,938.0
Attchd,576.0
Attchd,751.0
Attchd,839.0
Attchd,983.0
Attchd,783.0
Attchd,525.0
Attchd,691.0
Attchd,830.0
BuiltIn,668.0
Attchd,824.0
Attchd,642.0
Attchd,592.0
Attchd,758.0
Attchd,554.0
BuiltIn,851.0
Attchd,880.0
Attchd,480.0
Attchd,588.0
Attchd,529.0
Attchd,480.0
Attchd,603.0
Attchd,648.0
Attchd,936.0
Attchd,836.0
Attchd,562.0
Attchd,660.0
Attchd,462.0
Attchd,673.0
"",0.0
Attchd,542.0
Attchd,478.0
"",0.0
Detchd,576.0
Detchd,576.0
Attchd,520.0
Attchd,483.0
Attchd,525.0
Attchd,474.0
Attchd,575.0
Attchd,483.0
Attchd,627.0
Attchd,506.0
Attchd,496.0
Attchd,506.0
Attchd,533.0
Attchd,530.0
Attchd,384.0
Detchd,352.0
Detchd,420.0
Detchd,308.0
Attchd,276.0
Detchd,288.0
Attchd,484.0
Detchd,490.0
Attchd,473.0
Attchd,636.0
Attchd,530.0
Detchd,625.0
Attchd,495.0
Detchd,480.0
Detchd,540.0
Detchd,540.0
Detchd,440.0
Detchd,440.0
Attchd,495.0
Attchd,545.0
Attchd,588.0
Attchd,484.0
Attchd,506.0
Detchd,462.0
Detchd,462.0
Attchd,546.0
Detchd,480.0
Detchd,480.0
Attchd,846.0
Attchd,500.0
Attchd,477.0
Attchd,473.0
Attchd,516.0
Attchd,864.0
Attchd,550.0
Attchd,469.0
Attchd,530.0
Attchd,516.0
Attchd,512.0
Attchd,528.0
Attchd,578.0
Detchd,484.0
Attchd,624.0
Attchd,470.0
Detchd,576.0
Detchd,576.0
Detchd,576.0
Detchd,576.0
Detchd,506.0
Attchd,464.0
BuiltIn,831.0
Attchd,540.0
Attchd,484.0
Attchd,588.0
Attchd,486.0
Attchd,267.0
Detchd,352.0
Detchd,283.0
Attchd,525.0
Attchd,576.0
Attchd,490.0
Attchd,384.0
Attchd,504.0
Attchd,502.0
Attchd,520.0
Attchd,451.0
Attchd,312.0
Detchd,528.0
Attchd,312.0
Attchd,264.0
Detchd,287.0
"",0.0
Attchd,205.0
Basment,231.0
Attchd,450.0
Attchd,288.0
Attchd,264.0
BuiltIn,377.0
Attchd,312.0
Attchd,492.0
Attchd,504.0
Attchd,456.0
Attchd,462.0
Basment,296.0
Attchd,480.0
Attchd,260.0
Detchd,336.0
Detchd,506.0
Attchd,292.0
Attchd,480.0
Attchd,433.0
Attchd,441.0
Attchd,297.0
Attchd,458.0
Attchd,288.0
Attchd,384.0
Attchd,240.0
Detchd,636.0
Detchd,400.0
Attchd,540.0
Detchd,840.0
Attchd,240.0
Attchd,301.0
Detchd,336.0
Detchd,484.0
Detchd,390.0
Detchd,288.0
Attchd,288.0
Detchd,308.0
Detchd,1488.0
"",0.0
Attchd,490.0
Attchd,372.0
Attchd,495.0
Attchd,352.0
CarPort,401.0
Attchd,505.0
Attchd,414.0
Detchd,576.0
Detchd,420.0
Basment,404.0
Attchd,311.0
Attchd,299.0
Detchd,308.0
Detchd,576.0
Detchd,280.0
Detchd,528.0
Attchd,240.0
"",0.0
Detchd,480.0
Attchd,350.0
Attchd,483.0
Attchd,442.0
Attchd,264.0
Detchd,308.0
Detchd,504.0
Detchd,686.0
Detchd,400.0
Attchd,330.0
Detchd,520.0
Detchd,256.0
Detchd,308.0
"",0.0
Detchd,484.0
Detchd,440.0
Detchd,225.0
"",0.0
Detchd,828.0
Detchd,200.0
"",0.0
Detchd,250.0
Attchd,528.0
Detchd,869.0
Detchd,297.0
Attchd,288.0
Detchd,281.0
"",0.0
Attchd,870.0
Detchd,420.0
Detchd,720.0
Detchd,288.0
Detchd,513.0
Detchd,308.0
2Types,393.0
Detchd,396.0
"",0.0
Detchd,360.0
Detchd,672.0
"",0.0
"",0.0
Detchd,288.0
Detchd,880.0
Detchd,400.0
Detchd,342.0
Detchd,308.0
Attchd,352.0
Detchd,308.0
Detchd,308.0
Detchd,288.0
Attchd,252.0
Detchd,308.0
Detchd,240.0
"",0.0
Detchd,240.0
Detchd,200.0
Detchd,240.0
Detchd,370.0
BuiltIn,208.0
Detchd,672.0
Detchd,240.0
Detchd,160.0
BuiltIn,355.0
Detchd,280.0
Detchd,336.0
Attchd,164.0
Detchd,360.0
Detchd,400.0
Detchd,576.0
Detchd,468.0
Detchd,502.0
Detchd,240.0
Detchd,240.0
Detchd,370.0
Detchd,240.0
Detchd,672.0
Detchd,240.0
Detchd,275.0
Detchd,360.0
Detchd,228.0
Detchd,228.0
Detchd,440.0
Detchd,308.0
Detchd,400.0
Detchd,400.0
Detchd,320.0
Detchd,384.0
"",0.0
Detchd,720.0
"",0.0
Detchd,576.0
"",0.0
Detchd,216.0
Detchd,240.0
Attchd,322.0
Attchd,312.0
Detchd,680.0
"",0.0
Detchd,440.0
Detchd,384.0
Attchd,484.0
Attchd,408.0
Attchd,294.0
Attchd,450.0
Basment,504.0
Attchd,270.0
Attchd,506.0
CarPort,400.0
CarPort,400.0
"",0.0
Attchd,271.0
Attchd,300.0
Attchd,621.0
Attchd,354.0
Attchd,564.0
BuiltIn,300.0
Detchd,240.0
Basment,626.0
2Types,627.0
2Types,912.0
Attchd,431.0
Attchd,505.0
Attchd,478.0
Attchd,439.0
Attchd,529.0
Basment,312.0
Attchd,249.0
Attchd,495.0
Detchd,360.0
"",0.0
Detchd,396.0
Basment,540.0
Attchd,322.0
"",0.0
Detchd,280.0
Detchd,384.0
"",0.0
Detchd,240.0
"",0.0
Detchd,200.0
Attchd,514.0
BuiltIn,614.0
Attchd,534.0
Attchd,453.0
Attchd,472.0
BuiltIn,484.0
Attchd,864.0
Attchd,1348.0
Attchd,874.0
Attchd,678.0
Attchd,811.0
Attchd,438.0
Attchd,603.0
Detchd,528.0
Attchd,352.0
Detchd,672.0
Attchd,558.0
Attchd,600.0
Attchd,532.0
Attchd,588.0
Attchd,527.0
Attchd,577.0
Attchd,530.0
Attchd,564.0
Attchd,626.0
Attchd,608.0
Detchd,308.0
Attchd,328.0
Attchd,528.0
Detchd,576.0
Detchd,576.0
Attchd,440.0
Detchd,280.0
Detchd,352.0
Detchd,352.0
Attchd,534.0
Attchd,577.0
Attchd,839.0
Attchd,570.0
Attchd,660.0
Attchd,541.0
BuiltIn,905.0
BuiltIn,725.0
Attchd,715.0
Attchd,779.0
Attchd,543.0
BuiltIn,596.0
Attchd,595.0
Attchd,560.0
Attchd,493.0
Attchd,420.0
Attchd,420.0
Attchd,508.0
Attchd,721.0
Attchd,532.0
Attchd,548.0
Attchd,470.0
Attchd,484.0
Attchd,520.0
Attchd,484.0
Attchd,814.0
Attchd,610.0
Attchd,410.0
Attchd,420.0
Attchd,420.0
Attchd,420.0
Attchd,420.0
"",0.0
"",0.0
Attchd,264.0
Attchd,276.0
BuiltIn,504.0
Detchd,480.0
"",0.0
Detchd,588.0
BuiltIn,397.0
Attchd,542.0
Attchd,440.0
Attchd,451.0
Attchd,624.0
Attchd,1418.0
Basment,525.0
"",0.0
"",0.0
"",0.0
"",0.0
"",0.0
"",0.0
"",0.0
Attchd,286.0
Detchd,240.0
Detchd,548.0
Attchd,300.0
Basment,312.0
Detchd,205.0
"",0.0
"",0.0
"",0.0
Detchd,400.0
Detchd,240.0
Detchd,576.0
Attchd,312.0
"",0.0
BuiltIn,621.0
Detchd,480.0
Detchd,369.0
Detchd,672.0
Attchd,308.0
Detchd,400.0
Detchd,160.0
Detchd,180.0
Detchd,240.0
Attchd,599.0
Attchd,270.0
Detchd,240.0
Detchd,240.0
Detchd,225.0
Attchd,344.0
Detchd,786.0
BuiltIn,1014.0
Attchd,431.0
Attchd,506.0
Attchd,484.0
Detchd,924.0
Detchd,462.0
Attchd,452.0
Detchd,195.0
Detchd,240.0
"",0.0
Detchd,432.0
Detchd,924.0
"",0.0
Attchd,288.0
Detchd,360.0
Attchd,356.0
Attchd,487.0
Detchd,185.0
Detchd,250.0
Detchd,195.0
Detchd,1248.0
Detchd,216.0
Attchd,482.0
Attchd,525.0
